Metal,Ec,Ebind,Ebind/Ec,Ea,surface,Evac,electronegativity X(TM),electronegativity X(ligand),delta X,square(delta X),CN
Cu,4.09,4.261,1.041809291,2.54,CeO2(100),1.8,1.9,3.44,1.54,2.3716,2
Cu,4.09,2.5,0.611246944,0.83,CeO2(111),2.38,1.9,3.44,1.54,2.3716,3
Cu,4.09,0.642,0.156968215,0.01135,graphene,7.4,1.9,2.55,0.65,0.4225,1
Cu,4.09,1.27,0.310513447,0.36,MgO(100),6.33,1.9,3.44,1.54,2.3716,2
Cu,4.09,1.78,0.435207824,0.3,MoS2,3.18,1.9,2.58,0.68,0.4624,3
Cu,4.09,3.15,0.770171149,1.42985,SrTiO3,3.23,1.9,3.44,1.54,2.3716,4
Cu,4.09,4.31,1.053789731,3.18,steps of CeO2,1.74,1.9,3.44,1.54,2.3716,2
Ag,2.96,2.64,0.891891892,1.21,CeO2(100),1.8,1.93,3.44,1.51,2.2801,2
Ag,2.96,1.7,0.574324324,0.61,CeO2(111),2.38,1.93,3.44,1.51,2.2801,3
Ag,2.96,0.483,0.163175676,4.25E-04,graphene,7.4,1.93,2.55,0.62,0.3844,1
Ag,2.96,0.75,0.253378378,0.11,MgO(100),6.33,1.93,3.44,1.51,2.2801,2
Ag,2.96,0.91,0.307432432,0.14,MoS2,3.18,1.93,2.58,0.65,0.4225,3
Ag,2.96,1.78,0.601351351,0.81396,SrTiO3,3.23,1.93,3.44,1.51,2.2801,4
Ag,2.96,2.8,0.945945946,1.37,steps of CeO2,1.74,1.93,3.44,1.51,2.2801,2
Au,3.58,3.28,0.916201117,2.09,CeO2(100),1.8,2,3.44,1.44,2.0736,2
Au,3.58,1.45,0.405027933,0.26,CeO2(111),2.38,2.54,3.44,0.9,0.81,3
Au,3.58,0.571,0.159497207,0.01391,graphene,7.4,2.54,2.55,0.01,1.00E-04,1
Au,3.58,1.23,0.343575419,0.23,MgO(100),6.33,2.54,3.44,0.9,0.81,2
Au,3.58,1.05,0.293296089,0.2,MoS2,3.18,2.54,2.58,0.04,0.0016,3
Au,3.58,1.22,0.340782123,0.16,SrTiO3,3.23,2.54,3.44,0.9,0.81,4
Au,3.58,3.45,0.963687151,2.31,steps of CeO2,1.74,2.54,3.44,0.9,0.81,2
Ni,5.36,5.57,1.039179104,3.34,CeO2(100),1.8,1.91,3.44,1.53,2.3409,2
Ni,5.36,3.94,0.735074627,1.32,CeO2(111),2.38,1.91,3.44,1.53,2.3409,3
Ni,5.36,2.06,0.384328358,0.1281,graphene,7.4,1.91,2.55,0.64,0.4096,1
Ni,5.36,2.39,0.445895522,0.75,MgO(100),6.33,1.91,3.44,1.53,2.3409,2
Ni,5.36,5.49,1.024253731,3.36,steps of CeO2,1.74,1.91,3.44,1.53,2.3409,2
Pd,4.39,3.61,0.822323462,1.59,CeO2(100),1.8,2.2,3.44,1.24,1.5376,2
Pd,4.39,2.08,0.4738041,0.14,CeO2(111),2.38,2.2,3.44,1.24,1.5376,3
Pd,4.39,1.53991,0.350776765,0.05,graphene,7.4,2.2,2.55,0.35,0.1225,1
Pd,4.39,1.82,0.414578588,0.44,MgO(100),6.33,2.2,3.44,1.24,1.5376,2
Pd,4.39,2.68,0.61047836,0.45,MoS2,3.18,2.2,2.58,0.38,0.1444,3
