l1 ratio,number of cluster,error per cluster (eV)
0.0,12.0,0.15636873688622413
0.1,8.0,0.16521352630714822
0.15,9.0,0.16243798594532471
0.2,10.0,0.16230455880049033
0.25,10.0,0.16065239468281292
0.3,10.0,0.1599655096907521
0.35,9.0,0.15962831931885488
0.4,9.0,0.15979444511427549
0.45,9.0,0.15999750764361617
0.5,8.0,0.15953981871805645
0.55,8.0,0.1590012520318847
0.6,8.0,0.1585700218620715
0.65,8.0,0.1581674255667382
0.7,8.0,0.1577829151036032
0.75,8.0,0.15744988995858944
0.8,8.0,0.15735398598961559
0.85,8.0,0.15723634341270745
0.9,8.0,0.15715549473137297
0.95,8.0,0.1570433928822503
