l1 ratio,number of cluster,error per cluster (eV)
0.0,15.0,0.46004917227823305
0.1,14.0,0.819910456923646
0.15,12.0,0.8017401299384758
0.2,9.0,0.7913394248599752
0.25,9.0,0.7843865821585527
0.3,8.0,0.7798041415363521
0.35,8.0,0.7775190555200121
0.4,8.0,0.7736628373959874
0.45,8.0,0.7709001169157588
0.5,8.0,0.7689186752275722
0.55,8.0,0.7674002661174515
0.6,7.0,0.765362011811805
0.65,7.0,0.764167753357078
0.7,7.0,0.763132777436853
0.75,7.0,0.762386428683744
0.8,7.0,0.7618067080937522
0.85,7.0,0.7613361726226304
0.9,7.0,0.7608806151618398
0.95,7.0,0.7605318072821435
