Metal,Ec,Ebind,Ea,Ec_DFT
Ag,2.95,2.64,1.21,2.96
Ag,2.95,1.7,0.61,2.96
Ag,2.95,0.48342,4.25E-04,2.96
Ag,2.95,0.75,0.11,2.96
Ag,2.95,0.91,0.14,2.96
Ag,2.95,1.7794,0.81396,2.96
Ag,2.95,2.8,1.37,2.96
Ag,2.95,1.81,0.12,2.96
Ag,2.95,1.2089,0.1,2.96
Au,3.81,3.28,1.69,3.58
Au,3.81,1.45,0.26,3.58
Au,3.81,0.57064,0.01391,3.58
Au,3.81,1.23,0.23,3.58
Au,3.81,1.05,0.2,3.58
Au,3.81,1.21992,0.16,3.58
Au,3.81,3.45,1.69,3.58
Au,3.81,1.04,0.03,3.58
Au,3.81,1.5,0.211,3.58
Co,4.39,5.43,3.47,5.3
Co,4.39,4.32,1.9,5.3
Co,4.39,1.26375,0.06,5.3
Co,4.39,1.37,0.24,5.3
Co,4.39,3.07,0.66,5.3
Co,4.39,4.99996,2.93,5.3
Co,4.39,5.21,3.24,5.3
Co,4.39,3.8,1.01,5.3
Co,4.39,2.658,0.603,5.3
Cu,3.49,4.261,2.54,4.09
Cu,3.49,2.5,0.83,4.09
Cu,3.49,0.64214,0.01135,4.09
Cu,3.49,1.27,0.36,4.09
Cu,3.49,1.78,0.3,4.09
Cu,3.49,3.15023,1.42985,4.09
Cu,3.49,4.31,3.18,4.09
Cu,3.49,2.71,0.59,4.09
Cu,3.49,1.987,0.303,4.09
Fe,4.28,4.55,2.666,5.18
Fe,4.28,4.8,2.52,5.18
Fe,4.28,1.066,0.04,5.18
Fe,4.28,1.82,0.6,5.18
Fe,4.28,2.69,0.57,5.18
Fe,4.28,5.4723,3.2823,5.18
Fe,4.28,5.34,3.53,5.18
Fe,4.28,4.5,1.64,5.18
Fe,4.28,2.798,0.595,5.18
Ir,6.94,6.74,3.41,8.44
Ir,6.94,4.78,1.6,8.44
Ir,6.94,2.061,0.09,8.44
Ir,6.94,2.74,0.63,8.44
Ir,6.94,4.13,0.75,8.44
Ir,6.94,6.5399,3.1,8.44
Ir,6.94,6.76,3.64,8.44
Ir,6.94,4.43,0.95,8.44
Ir,6.94,3.869,0.8,8.44
Ni,4.44,5.36,3.34,5.36
Ni,4.44,3.73,1.32,5.36
Ni,4.44,1.85217,0.1281,5.36
Ni,4.44,2.18,0.75,5.36
Ni,4.44,3.97,0.87,5.36
Ni,4.44,5.17694,2.58208,5.36
Ni,4.44,5.28,3.36,5.36
Ni,4.44,3.87,1.09,5.36
Ni,4.44,2.804,0.75,5.36
Pd,3.89,3.61,1.59,4.39
Pd,3.89,2.08,0.14,4.39
Pd,3.89,1.53991,0.08,4.39
Pd,3.89,1.82,0.52,4.39
Pd,3.89,2.68,0.53,4.39
Pd,3.89,3.20988,1.17726,4.39
Pd,3.89,3.7,1.67,4.39
Pd,3.89,2.35,0.26,4.39
Pd,3.89,2.096,0.337,4.39
Pt,5.84,5.47,2.94,6.4
Pt,5.84,3.21,0.54,6.4
Pt,5.84,2.10389,0.12,6.4
Pt,5.84,2.93,1.03,6.4
Pt,5.84,3.52,0.68,6.4
Pt,5.84,4.905,2.25362,6.4
Pt,5.84,5.54,2.96,6.4
Pt,5.84,3.42,0.49,6.4
Pt,5.84,3.172,0.718,6.4
Rh,5.75,4.73,1.92,6.23
Rh,5.75,3.58,1.18,6.23
Rh,5.75,1.87079,0.0921,6.23
Rh,5.75,1.88,0.39,6.23
Rh,5.75,3.92,0.73,6.23
Rh,5.75,5.26057,2.41337,6.23
Rh,5.75,5.03,2.46,6.23
Rh,5.75,3.33,0.52,6.23
Rh,5.75,2.568,0.444,6.23
Ru,6.74,5.99,2.9997,8.2
Ru,6.74,3.6,1.17,8.2
Ru,6.74,2.031,0.1,8.2
Ru,6.74,1.57,0.34,8.2
Ru,6.74,3.54,0.62,8.2
Ru,6.74,5.296,2.3,8.2
Ru,6.74,5.14,2.34,8.2
Ru,6.74,3.89,0.62,8.2
Ru,6.74,3.058,0.52,8.2
