,Descriptors,DSL,LASSO,Enet,Ridge,GP,OLS
0,1,1.184,1.185,1.178,1.172,0.74,-6216.527
1,Ec_1,0.0,0.0,0.0,0.074,0.0,1497884955306.129
2,Ec_-1,0.0,0.0,0.0,0.069,0.0,2837475758368.318
3,Ec_0.5,0.0,0.0,0.0,0.046,0.0,689622142120.884
4,Ec_-0.5,0.0,-0.0,0.0,0.042,0.0,-984959742700.85
5,Ec_2,0.0,0.0,0.0,0.024,0.0,1317795110318.622
6,Ec_-2,0.0,0.0,0.0,0.023,0.0,450075735774.732
7,Ec_ln,0.0,0.0,-0.0,0.002,0.0,305545043230.059
8,Ebind_1,0.0,-0.0,-0.0,-0.015,0.0,-1679140527765.172
9,Ebind_-1,0.0,0.0,0.0,-0.057,0.0,156533691557.628
10,Ebind_0.5,0.0,-0.131,-0.0,-0.136,0.0,1915105297714.937
11,Ebind_-0.5,0.0,0.015,0.077,0.07,0.0,2089349895314.166
12,Ebind_2,0.0,0.0,0.0,0.169,0.0,-2577006136905.495
13,Ebind_-2,0.0,-0.0,0.0,-0.079,0.0,-1797726668313.231
14,Ebind_ln,0.0,-0.0,-0.072,-0.159,0.0,3933854351552.276
15,Ec_1Ec_0.5,0.0,0.0,0.0,0.07,0.0,-1529102282254.612
16,Ec_1Ec_2,0.0,0.016,0.0,-0.218,0.0,16211786770.024
17,Ec_1Ec_ln,0.0,0.0,0.0,0.085,0.0,-1230150500713.179
18,Ec_1Ebind_1,0.0,0.0,-0.0,0.092,0.0,588608357545.042
19,Ec_1Ebind_-1,0.0,0.0,0.0,0.036,0.0,-1355250840670.904
20,Ec_1Ebind_0.5,0.0,0.0,-0.0,0.03,0.0,-2321695277223.664
21,Ec_1Ebind_-0.5,0.0,0.041,0.078,0.17,0.0,2645363559970.126
22,Ec_1Ebind_2,0.0,0.0,-0.0,0.091,0.0,-59562925004.131
23,Ec_1Ebind_-2,0.0,-0.0,-0.0,-0.094,0.0,353471251969.63
24,Ec_1Ebind_ln,0.0,-0.0,-0.0,-0.043,0.0,3189063256442.538
25,Ec_-1Ec_-0.5,0.0,0.0,0.0,0.065,0.0,280506727884.035
26,Ec_-1Ec_-2,0.0,0.0,0.0,-0.182,0.0,37434062284.035
27,Ec_-1Ec_ln,0.0,-0.0,0.0,0.019,0.0,345014391410.625
28,Ec_-1Ebind_1,0.0,-0.0,-0.0,0.077,0.0,104559998953.861
29,Ec_-1Ebind_-1,0.0,0.0,0.0,-0.082,0.0,-819248341507.025
30,Ec_-1Ebind_0.5,0.0,-0.0,-0.0,-0.009,0.0,-1151454177989.734
31,Ec_-1Ebind_-0.5,0.0,0.0,0.0,0.013,0.0,3876898203501.334
32,Ec_-1Ebind_2,1.059,0.575,0.244,0.394,0.941,28151274592.451
33,Ec_-1Ebind_-2,0.0,-0.0,-0.0,-0.013,0.0,-204131672865.856
34,Ec_-1Ebind_ln,0.0,-0.046,-0.0,-0.044,0.0,2263931009806.854
35,Ec_0.5Ec_2,0.0,0.0,0.0,-0.072,0.0,-119020948880.482
36,Ec_0.5Ec_ln,0.0,0.0,0.0,0.067,0.0,546500319797.471
37,Ec_0.5Ebind_1,0.0,0.0,-0.0,0.031,0.0,-1776628541726.704
38,Ec_0.5Ebind_-1,0.0,0.0,0.0,-0.007,0.0,6806689013108.559
39,Ec_0.5Ebind_0.5,0.0,-0.0,-0.0,-0.055,0.0,4645953065822.668
40,Ec_0.5Ebind_-0.5,0.0,0.0,0.0,0.153,0.0,-8408837528036.665
41,Ec_0.5Ebind_2,0.0,0.0,0.0,0.128,0.0,290302949620.804
42,Ec_0.5Ebind_-2,0.0,-0.0,-0.0,-0.089,0.0,-2244316071190.9
