,Descriptors,DSL,LASSO,Enet,Ridge,GP,OLS
0,1,-0.203,-0.05,-0.737,-0.062,0.0,-20763947696914.92
1,Ec_1,0.0,0.0,0.0,0.044,0.0,895386373239.911
2,Ec_-1,0.0,0.0,0.0,1.087,0.0,44565985085173.58
3,Ec_0.5,0.0,0.0,0.0,0.13,0.0,1935909609947.555
4,Ec_-0.5,0.0,-0.0,0.0,0.611,0.0,-14179035627674.316
5,Ec_2,0.0,0.0,0.0,0.001,0.0,66973918053.958
6,Ec_-2,0.0,0.0,0.0,0.809,0.0,15694315475277.203
7,Ec_ln,0.0,0.0,-0.0,0.005,0.0,983258992836.385
8,Ebind_1,0.0,-0.0,-0.0,-0.01,0.0,-1080971843910.077
9,Ebind_-1,0.0,0.0,0.0,-0.169,0.0,468169613712.62
10,Ebind_0.5,0.0,-0.287,-0.0,-0.298,0.0,4201170461392.456
11,Ebind_-0.5,0.0,0.07,0.37,0.338,0.0,10051539325472.533
12,Ebind_2,0.0,0.0,0.0,0.016,0.0,-236807376037.274
13,Ebind_-2,0.0,-0.0,0.0,-0.13,0.0,-2968240953015.524
14,Ebind_ln,0.0,-0.0,-0.123,-0.272,0.0,6741859402908.351
15,Ec_1Ec_0.5,0.0,0.0,0.0,0.012,0.0,-253813070989.281
16,Ec_1Ec_2,0.0,0.0,0.0,-0.001,0.0,87018874.909
17,Ec_1Ec_ln,0.0,0.0,0.0,0.018,0.0,-268902358392.682
18,Ec_1Ebind_1,0.0,0.0,-0.0,0.007,0.0,46460497129.86
19,Ec_1Ebind_-1,0.0,0.0,0.0,0.03,0.0,-1148634813004.54
20,Ec_1Ebind_0.5,0.0,0.0,-0.0,0.006,0.0,-490902544023.928
21,Ec_1Ebind_-0.5,0.0,0.043,0.082,0.18,0.0,2800837190721.908
22,Ec_1Ebind_2,0.0,0.0,-0.0,0.001,0.0,-727138593.831
23,Ec_1Ebind_-2,0.0,-0.0,-0.0,-0.046,0.0,174216281916.415
24,Ec_1Ebind_ln,0.0,-0.0,-0.0,-0.01,0.0,763301380530.487
25,Ec_-1Ec_-0.5,0.0,0.0,0.0,1.461,0.0,6258276573865.211
26,Ec_-1Ec_-2,0.0,0.0,0.0,-17.334,0.0,3565230015522.898
27,Ec_-1Ec_ln,0.0,-0.0,0.0,0.52,0.0,9655688658406.566
28,Ec_-1Ebind_1,0.0,-0.0,-0.0,0.31,0.0,421082326023.835
29,Ec_-1Ebind_-1,0.0,0.0,0.0,-0.749,0.0,-7501161679102.823
30,Ec_-1Ebind_0.5,0.0,-0.0,-0.0,-0.097,0.0,-12854367003177.244
31,Ec_-1Ebind_-0.5,0.0,0.0,0.0,0.161,0.0,46325896878525.89
32,Ec_-1Ebind_2,0.636,0.346,0.147,0.237,0.565,16909321451.093
33,Ec_-1Ebind_-2,0.0,-0.0,-0.0,-0.069,0.0,-1078938481989.463
34,Ec_-1Ebind_ln,0.0,-0.413,-0.0,-0.393,0.0,20194991756116.08
35,Ec_0.5Ec_2,0.0,0.0,0.0,-0.001,0.0,-1940914789.115
36,Ec_0.5Ec_ln,0.0,0.0,0.0,0.051,0.0,416040343742.448
37,Ec_0.5Ebind_1,0.0,0.0,-0.0,0.007,0.0,-406134876186.346
38,Ec_0.5Ebind_-1,0.0,0.0,0.0,-0.012,0.0,11284161760250.004
39,Ec_0.5Ebind_0.5,0.0,-0.0,-0.0,-0.037,0.0,3157111917958.504
40,Ec_0.5Ebind_-0.5,0.0,0.0,0.0,0.422,0.0,-23208324209421.543
41,Ec_0.5Ebind_2,0.0,0.0,0.0,0.004,0.0,9850699581.629
42,Ec_0.5Ebind_-2,0.0,-0.0,-0.0,-0.081,0.0,-2041014311497.925
43,Ec_0.5Ebind_ln,0.0,-0.0,-0.0,-0.082,0.0,-5086246992686.95
44,Ec_-0.5Ec_-2,0.0,0.0,0.0,-3.422,0.0,-28856161394934.52
45,Ec_-0.5Ec_ln,0.0,-0.0,-0.0,-6.704,0.0,21857854621205.26
46,Ec_-0.5Ebind_1,0.0,-0.0,0.0,0.002,0.0,-281240028105.913
47,Ec_-0.5Ebind_-1,0.0,0.0,0.0,-0.438,0.0,-4002242347750.768
48,Ec_-0.5Ebind_0.5,0.0,-0.0,-0.0,-0.71,0.0,20755610117697.234
49,Ec_-0.5Ebind_-0.5,0.0,0.0,0.0,0.179,0.0,-52515032680222.45
50,Ec_-0.5Ebind_2,0.0,0.0,0.065,0.061,0.0,-47146668604.491
51,Ec_-0.5Ebind_-2,0.0,-0.0,-0.0,-0.162,0.0,5468548819347.909
52,Ec_-0.5Ebind_ln,0.0,-0.04,-0.0,-0.49,0.0,-31553928250942.234
53,Ec_2Ec_ln,0.0,0.0,0.0,-0.001,0.0,-5033536422.972
54,Ec_2Ebind_1,0.0,0.0,0.0,0.001,0.0,-416594253.554
55,Ec_2Ebind_-1,0.0,0.0,0.0,-0.009,0.0,9100858917.108
56,Ec_2Ebind_0.5,0.0,0.0,0.0,0.001,0.0,5116873192.505
57,Ec_2Ebind_-0.5,0.0,0.003,0.0,-0.0,0.0,-25163131738.935
58,Ec_2Ebind_2,0.0,0.0,0.0,-0.0,0.0,4159262.969
59,Ec_2Ebind_-2,0.0,-0.0,-0.0,-0.019,0.0,-1157687620.937
60,Ec_2Ebind_ln,0.0,0.0,0.0,0.002,0.0,-7744461911.567
61,Ec_-2Ec_ln,0.0,0.0,0.0,5.594,0.0,-20087013720103.566
62,Ec_-2Ebind_1,0.0,-0.0,0.0,0.511,0.0,-104058402161.025
63,Ec_-2Ebind_-1,0.0,0.0,0.0,-0.074,0.0,2968430200645.24
64,Ec_-2Ebind_0.5,0.0,-0.0,0.0,-1.636,0.0,2695041902054.942
65,Ec_-2Ebind_-0.5,0.0,0.0,0.0,1.145,0.0,-11976449929367.504
66,Ec_-2Ebind_2,0.0,1.301,1.446,2.152,0.0,-2470898029.392
67,Ec_-2Ebind_-2,0.0,-0.0,-0.0,1.946,0.0,-63244861789.427
68,Ec_-2Ebind_ln,0.0,-0.297,-0.0,-4.527,0.0,-4458870156754.628
69,Ec_lnEbind_1,0.0,0.0,0.0,0.002,0.0,255631057421.442
70,Ec_lnEbind_-1,0.0,0.0,0.0,0.034,0.0,-9485875892488.355
71,Ec_lnEbind_0.5,0.0,-0.0,-0.0,-0.074,0.0,954437150832.266
72,Ec_lnEbind_-0.5,0.0,0.0,0.0,0.677,0.0,9766916149880.42
73,Ec_lnEbind_2,0.0,0.0,0.0,0.005,0.0,-14944022932.826
74,Ec_lnEbind_-2,0.0,-0.0,-0.0,-0.146,0.0,2470701649361.456
75,Ec_lnEbind_ln,0.0,-0.0,-0.0,-0.139,0.0,-1115704160130.148
76,Ebind_1Ebind_0.5,0.0,0.0,0.0,0.028,0.0,851130080527.883
77,Ebind_1Ebind_2,0.0,0.005,0.003,-0.004,0.0,231207618.773
78,Ebind_1Ebind_ln,0.0,0.0,0.0,0.036,0.0,-87081167487.229
79,Ebind_-1Ebind_-0.5,0.0,0.0,0.0,-0.265,0.0,1570163798536.455
80,Ebind_-1Ebind_-2,0.0,-0.0,-0.0,0.164,0.0,11705489381.551
81,Ebind_-1Ebind_ln,0.0,0.0,0.0,1.243,0.0,1325960014706.132
82,Ebind_0.5Ebind_2,0.0,0.0,0.002,0.002,0.0,-10915350347.126
83,Ebind_0.5Ebind_ln,0.0,-0.0,-0.0,-0.059,0.0,-2337007626959.27
84,Ebind_-0.5Ebind_-2,0.0,-0.0,-0.0,0.049,0.0,-174786954250.51
85,Ebind_-0.5Ebind_ln,0.0,-0.0,-0.0,0.324,0.0,-4601225958310.28
86,Ebind_2Ebind_ln,0.0,0.0,0.002,0.007,0.0,60559408564.671
87,Ebind_-2Ebind_ln,0.0,0.088,0.096,-0.513,0.0,-276364816389.062
