Metal,Ec,Ebind,Ea
Cu,3.49,4.261,2.54
Ag,2.95,2.64,1.21
Au,3.81,3.28,1.69
Ni,4.44,5.36,3.34
Pd,3.89,3.61,1.59
Pt,5.84,5.47,2.94
Co,4.39,5.43,3.47
Rh,5.75,4.73,1.92
Ir,6.94,6.74,3.41
Fe,4.28,4.55,2.666
Ru,6.74,5.99,2.9997
Cu,3.49,2.5,0.83
Ag,2.95,1.7,0.61
Au,3.81,1.45,0.26
Ni,4.44,3.73,1.32
Pd,3.89,2.08,0.14
Pt,5.84,3.21,0.54
Co,4.39,4.32,1.9
Rh,5.75,3.58,1.18
Ir,6.94,4.78,1.6
Fe,4.28,4.8,2.52
Ru,6.74,3.6,1.17
Cu,3.49,0.64214,0.01135
Ag,2.95,0.48342,4.25E-04
Au,3.81,0.57064,0.01391
Ni,4.44,1.85217,0.1281
Pd,3.89,1.53991,0.08
Pt,5.84,2.10389,0.12
Co,4.39,1.26375,0.06
Rh,5.75,1.87079,0.0921
Ir,6.94,2.061,0.09
Fe,4.28,1.066,0.04
Ru,6.74,2.031,0.1
Mn,2.92,0.33,0.002
Cu,3.49,1.27,0.36
Ag,2.95,0.75,0.11
Au,3.81,1.23,0.23
Ni,4.44,2.18,0.75
Pd,3.89,1.82,0.52
Pt,5.84,2.93,1.03
Co,4.39,1.37,0.24
Rh,5.75,1.88,0.39
Ir,6.94,2.74,0.63
Fe,4.28,1.82,0.6
Ru,6.74,1.57,0.34
Cu,3.49,1.78,0.3
Ag,2.95,0.91,0.14
Au,3.81,1.05,0.2
Ni,4.44,3.97,0.87
Pd,3.89,2.68,0.53
Pt,5.84,3.52,0.68
Co,4.39,3.07,0.66
Rh,5.75,3.92,0.73
Ir,6.94,4.13,0.75
Fe,4.28,2.69,0.57
Ru,6.74,3.54,0.62
Cu,3.49,3.15023,1.42985
Ag,2.95,1.7794,0.81396
Au,3.81,1.21992,0.16
Ni,4.44,5.17694,2.58208
Pd,3.89,3.20988,1.17726
Pt,5.84,4.905,2.25362
Co,4.39,4.99996,2.93
Rh,5.75,5.26057,2.41337
Ir,6.94,6.5399,3.1
Fe,4.28,5.4723,3.2823
Ru,6.74,5.296,2.3
Cu,3.49,4.31,3.18
Ag,2.95,2.8,1.37
Au,3.81,3.45,1.69
Ni,4.44,5.28,3.36
Pd,3.89,3.7,1.67
Pt,5.84,5.54,2.96
Co,4.39,5.21,3.24
Rh,5.75,5.03,2.46
Ir,6.94,6.76,3.64
Fe,4.28,5.34,3.53
Ru,6.74,5.14,2.34
Cu,3.49,2.71,0.59
Ag,2.95,1.81,0.12
Au,3.81,1.04,0.03
Ni,4.44,3.87,1.09
Pd,3.89,2.35,0.26
Pt,5.84,3.42,0.49
Co,4.39,3.8,1.01
Rh,5.75,3.33,0.52
Ir,6.94,4.43,0.95
Fe,4.28,4.5,1.64
Ru,6.74,3.89,0.62
Cu,3.49,1.987,0.303
Ag,2.95,1.2089,0.1
Au,3.81,1.5,0.211
Ni,4.44,2.804,0.75
Pd,3.89,2.096,0.337
Pt,5.84,3.172,0.718
Co,4.39,2.658,0.603
Rh,5.75,2.568,0.444
Ir,6.94,3.869,0.8
Fe,4.28,2.798,0.595
Ru,6.74,3.058,0.52
