metal,support,Ebind,Ec_DFT,Ec_exp,Ea
Ag,CeO2(100),2.64,2.96,2.95,1.21
Ag,CeO2(111),1.7,2.96,2.95,0.61
Ag,Graphene,0.48342,2.96,2.95,4.25E-04
Ag,MgO(101),0.75,2.96,2.95,0.11
Ag,MoS2,0.91,2.96,2.95,0.14
Ag,SrTiO3,1.7794,2.96,2.95,0.81396
Ag,Steps of CeO2,2.8,2.96,2.95,1.37
Ag,TiO2(110),1.81,2.96,2.95,0.12
Ag,ZnO(100),1.2089,2.96,2.95,0.1
Au,CeO2(100),3.28,3.58,3.81,1.69
Au,CeO2(111),1.45,3.58,3.81,0.26
Au,Graphene,0.57064,3.58,3.81,0.01391
Au,MgO(102),1.23,3.58,3.81,0.23
Au,MoS2,1.05,3.58,3.81,0.2
Au,SrTiO3,1.21992,3.58,3.81,0.16
Au,Steps of CeO2,3.45,3.58,3.81,1.69
Au,TiO2(110),1.04,3.58,3.81,0.03
Au,ZnO(100),1.5,3.58,3.81,0.211
Co,CeO2(100),5.43,5.3,4.39,3.47
Co,CeO2(111),4.32,5.3,4.39,1.9
Co,Graphene,1.26375,5.3,4.39,0.06
Co,MgO(106),1.37,5.3,4.39,0.24
Co,MoS2,3.07,5.3,4.39,0.66
Co,SrTiO3,4.99996,5.3,4.39,2.93
Co,Steps of CeO2,5.21,5.3,4.39,3.24
Co,TiO2(110),3.8,5.3,4.39,1.01
Co,ZnO(100),2.658,5.3,4.39,0.603
Cu,CeO2(100),4.261,4.09,3.49,2.54
Cu,CeO2(111),2.5,4.09,3.49,0.83
Cu,Graphene,0.64214,4.09,3.49,0.01135
Cu,MgO(100),1.27,4.09,3.49,0.36
Cu,MoS2,1.78,4.09,3.49,0.3
Cu,SrTiO3,3.15023,4.09,3.49,1.42985
Cu,Steps of CeO2,4.31,4.09,3.49,3.18
Cu,TiO2(110),2.71,4.09,3.49,0.59
Cu,ZnO(100),1.987,4.09,3.49,0.303
Fe,CeO2(100),4.55,5.18,4.28,2.666
Fe,CeO2(111),4.8,5.18,4.28,2.52
Fe,Graphene,1.066,5.18,4.28,0.04
Fe,MgO(109),1.82,5.18,4.28,0.6
Fe,MoS2,2.69,5.18,4.28,0.57
Fe,SrTiO3,5.4723,5.18,4.28,3.2823
Fe,Steps of CeO2,5.34,5.18,4.28,3.53
Fe,TiO2(110),4.5,5.18,4.28,1.64
Fe,ZnO(100),2.798,5.18,4.28,0.595
Ir,CeO2(100),6.74,8.44,6.94,3.41
Ir,CeO2(111),4.78,8.44,6.94,1.6
Ir,Graphene,2.061,8.44,6.94,0.09
Ir,MgO(108),2.74,8.44,6.94,0.63
Ir,MoS2,4.13,8.44,6.94,0.75
Ir,SrTiO3,6.5399,8.44,6.94,3.1
Ir,Steps of CeO2,6.76,8.44,6.94,3.64
Ir,TiO2(110),4.43,8.44,6.94,0.95
Ir,ZnO(100),3.869,8.44,6.94,0.8
Ni,CeO2(100),5.36,5.36,4.44,3.34
Ni,CeO2(111),3.73,5.36,4.44,1.32
Ni,Graphene,1.85217,5.36,4.44,0.1281
Ni,MgO(103),2.18,5.36,4.44,0.75
Ni,MoS2,3.97,5.36,4.44,0.87
Ni,SrTiO3,5.17694,5.36,4.44,2.58208
Ni,Steps of CeO2,5.28,5.36,4.44,3.36
Ni,TiO2(110),3.87,5.36,4.44,1.09
Ni,ZnO(100),2.804,5.36,4.44,0.75
Pd,CeO2(100),3.61,4.39,3.89,1.59
Pd,CeO2(111),2.08,4.39,3.89,0.14
Pd,Graphene,1.53991,4.39,3.89,0.08
Pd,MgO(104),1.82,4.39,3.89,0.52
Pd,MoS2,2.68,4.39,3.89,0.53
Pd,SrTiO3,3.20988,4.39,3.89,1.17726
Pd,Steps of CeO2,3.7,4.39,3.89,1.67
Pd,TiO2(110),2.35,4.39,3.89,0.26
Pd,ZnO(100),2.096,4.39,3.89,0.337
Pt,CeO2(100),5.47,6.4,5.84,2.94
Pt,CeO2(111),3.21,6.4,5.84,0.54
Pt,Graphene,2.10389,6.4,5.84,0.12
Pt,MgO(105),2.93,6.4,5.84,1.03
Pt,MoS2,3.52,6.4,5.84,0.68
Pt,SrTiO3,4.905,6.4,5.84,2.25362
Pt,Steps of CeO2,5.54,6.4,5.84,2.96
Pt,TiO2(110),3.42,6.4,5.84,0.49
Pt,ZnO(100),3.172,6.4,5.84,0.718
Rh,CeO2(100),4.73,6.23,5.75,1.92
Rh,CeO2(111),3.58,6.23,5.75,1.18
Rh,Graphene,1.87079,6.23,5.75,0.0921
Rh,MgO(107),1.88,6.23,5.75,0.39
Rh,MoS2,3.92,6.23,5.75,0.73
Rh,SrTiO3,5.26057,6.23,5.75,2.41337
Rh,Steps of CeO2,5.03,6.23,5.75,2.46
Rh,TiO2(110),3.33,6.23,5.75,0.52
Rh,ZnO(100),2.568,6.23,5.75,0.444
Ru,CeO2(100),5.99,8.2,6.74,2.9997
Ru,CeO2(111),3.6,8.2,6.74,1.17
Ru,Graphene,2.031,8.2,6.74,0.1
Ru,MgO(110),1.57,8.2,6.74,0.34
Ru,MoS2,3.54,8.2,6.74,0.62
Ru,SrTiO3,5.296,8.2,6.74,2.3
Ru,Steps of CeO2,5.14,8.2,6.74,2.34
Ru,TiO2(110),3.89,8.2,6.74,0.62
Ru,ZnO(100),3.058,6.74,,0.52
