l1 ratio,number of cluster,error per cluster (eV)
0.0,100.0,0.36298542703016295
0.01,79.0,0.3593698321937054
0.05,51.0,0.2860659411850528
0.1,33.0,0.27748831857326256
0.15,27.0,0.27219324305153814
0.2,20.0,0.2689574965308582
0.25,19.0,0.2673125610851703
0.3,19.0,0.2661375143034454
0.35,15.0,0.2653425422552013
0.4,15.0,0.26507614297663545
0.45,16.0,0.26551402526752954
0.5,16.0,0.26725534224747294
0.55,15.0,0.26726556736248736
0.6,15.0,0.26691511215909014
0.65,17.0,0.2664154326016598
0.7,16.0,0.2667850206041825
0.75,15.0,0.26688723546544535
0.8,16.0,0.26703775339058633
0.85,16.0,0.26732100870712333
0.9,16.0,0.2677409458330161
0.95,18.0,0.2709193325836588
1.0,16.0,0.27086558335045147
