Ec,Ea,Ebind,Ebind/Ec,(Ebind)2/Ec,metal,support,Evac,electronegativity X(TM),electronegativity X(ligand),delta X,square(delta X),CN,angle
4.09,2.54,4.261,1.041809291,4.439149389,Cu,CeO2(100),1.8,1.9,3.44,1.54,2.3716,2,90
2.96,1.21,2.64,0.891891892,2.354594595,Ag,CeO2(100),1.8,1.93,3.44,1.51,2.2801,2,90
3.58,1.69,3.28,0.916201117,3.005139665,Au,CeO2(100),1.8,2.54,3.44,0.9,0.81,2,90
5.36,3.34,5.36,1,5.36,Ni,CeO2(100),1.8,1.91,3.44,1.53,2.3409,2,90
4.39,1.59,3.61,0.822323462,2.968587699,Pd,CeO2(100),1.8,2.2,3.44,1.24,1.5376,2,90
6.4,2.94,5.47,0.8546875,4.675140625,Pt,CeO2(100),1.8,2.28,3.44,1.16,1.3456,2,90
5.3,3.47,5.43,1.024528302,5.563188679,Co,CeO2(100),1.8,1.88,3.44,1.56,2.4336,2,90
6.23,1.92,4.73,0.759229535,3.591155698,Rh,CeO2(100),1.8,2.28,3.44,1.16,1.3456,2,90
8.44,3.41,6.74,0.798578199,5.382417062,Ir,CeO2(100),1.8,2.2,3.44,1.24,1.5376,2,90
5.18,2.666,4.55,0.878378378,3.996621622,Fe,CeO2(100),1.8,1.83,3.44,1.61,2.5921,2,90
8.2,2.9997,5.99,0.730487805,4.375621951,Ru,CeO2(100),1.8,2.2,3.44,1.24,1.5376,2,90
4.09,0.83,2.5,0.611246944,1.528117359,Cu,CeO2(111),2.38,1.9,3.44,1.54,2.3716,3,90
2.96,0.61,1.7,0.574324324,0.976351351,Ag,CeO2(111),2.38,1.93,3.44,1.51,2.2801,3,90
3.58,0.26,1.45,0.405027933,0.587290503,Au,CeO2(111),2.38,2.54,3.44,0.9,0.81,3,90
5.36,1.32,3.73,0.695895522,2.595690299,Ni,CeO2(111),2.38,1.91,3.44,1.53,2.3409,3,90
4.39,0.14,2.08,0.4738041,0.985512528,Pd,CeO2(111),2.38,2.2,3.44,1.24,1.5376,3,90
6.4,0.54,3.21,0.5015625,1.610015625,Pt,CeO2(111),2.38,2.28,3.44,1.16,1.3456,3,90
5.3,1.9,4.32,0.81509434,3.521207547,Co,CeO2(111),2.38,1.88,3.44,1.56,2.4336,3,90
6.23,1.18,3.58,0.574638844,2.057207063,Rh,CeO2(111),2.38,2.28,3.44,1.16,1.3456,3,90
8.44,1.6,4.78,0.566350711,2.707156398,Ir,CeO2(111),2.38,2.2,3.44,1.24,1.5376,3,90
5.18,2.52,4.8,0.926640927,4.447876448,Fe,CeO2(111),2.38,1.83,3.44,1.61,2.5921,3,90
8.2,1.17,3.6,0.43902439,1.580487805,Ru,CeO2(111),2.38,2.2,3.44,1.24,1.5376,3,90
4.09,0.01135,0.64214,0.157002445,0.10081755,Cu,Graphene,7.4,1.9,2.55,0.65,0.4225,1,90
2.96,4.25E-04,0.48342,0.163317568,0.078950979,Ag,Graphene,7.4,1.93,2.55,0.62,0.3844,1,90
3.58,0.01391,0.57064,0.159396648,0.090958103,Au,Graphene,7.4,2.54,2.55,0.01,1.00E-04,1,90
5.36,0.1281,1.85217,0.345554104,0.640024946,Ni,Graphene,7.4,1.91,2.55,0.64,0.4096,1,90
4.39,0.08,1.53991,0.350776765,0.540164649,Pd,Graphene,7.4,2.2,2.55,0.35,0.1225,1,90
