l1 ratio,number of cluster,error per cluster (eV)
0.0,631.0,16.749696270499964
0.01,454.0,11.953258411823102
0.05,258.0,10.69447697004661
0.1,186.0,7.024998694696497
0.15,166.0,3.356725859940744
0.2,146.0,0.7408591690296082
0.25,98.0,0.4790558711557146
0.3,77.0,0.47715511776699615
0.35,67.0,0.47102709391266456
0.4,63.0,0.46811043191100116
0.45,60.0,0.4648421667119759
0.5,58.0,0.4624439518167435
0.55,56.0,0.4595771073624016
0.6,49.0,0.4644741385878735
0.65,45.0,0.46349366045400975
0.7,57.0,0.45895898328776025
0.75,55.0,0.4591215359059632
0.8,54.0,0.45926706843189574
0.85,54.0,0.45868390137926496
0.9,49.0,0.45759379097314584
0.95,53.0,0.4577395117079713
1.0,51.0,0.45702928627191575
