l1 ratio,number of cluster,error per cluster (eV)
0.0,21.0,0.5433605187376694
0.1,18.0,0.6725911897274902
0.15,20.0,0.6509631311119669
0.2,19.0,0.6382882358074249
0.25,19.0,0.629261541537877
0.3,19.0,0.622673311177257
0.35,19.0,0.6165597363187643
0.4,19.0,0.6111674922232901
0.45,19.0,0.6061432512975568
0.5,19.0,0.6012455487173666
0.55,18.0,0.5961368383718708
0.6,18.0,0.5891029867790057
0.65,18.0,0.5824765063192898
0.7,18.0,0.5759616811611314
0.75,17.0,0.5700481790446638
0.8,17.0,0.5644942831484315
0.85,17.0,0.5591687693374464
0.9,17.0,0.5539877027856692
0.95,18.0,0.5496925512556267
