l1 ratio,number of cluster,error per cluster (eV)
0.0,88.0,0.26248381956689915
0.01,61.0,0.21958640690364384
0.05,38.0,0.2005266903912475
0.1,28.0,0.19910482978545582
0.15,23.0,0.19830681202163453
0.2,16.0,0.19808545866718727
0.25,14.0,0.19805968183111763
0.3,13.0,0.19790743562772486
0.35,13.0,0.19814085210376192
0.4,12.0,0.1983689508739954
0.45,12.0,0.1985788276881186
0.5,14.0,0.19843612387520088
0.55,15.0,0.19841288185069678
0.6,16.0,0.19862556763181666
0.65,16.0,0.19888701676885695
0.7,15.0,0.19889672217761392
0.75,15.0,0.19879216803367478
0.8,16.0,0.19866146578719707
0.85,16.0,0.19852616896058733
0.9,15.0,0.19820036978341424
0.95,15.0,0.1981562426308671
1.0,13.0,0.1981430553348626
